Code,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Name,Country,Latitude,Longitude,Elevation (meters),Time from GMT
ASC,1990,352.11,351.85,351.42,352.08,352.97,353.24,353.95,354.53,354.31,354.17,354.1,353.63,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1991,353.62,353.71,353.2,352.75,353.38,354.12,354.65,354.9,354.71,354.95,355.09,354.7,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1992,354.43,354.32,354.26,354.75,355.34,355.74,356.34,356.37,356.08,356.07,355.87,355.4,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1993,355.08,354.9,354.77,354.89,355.26,356.27,356.41,356.49,357.61,357.7,356.9,356.48,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1994,356.72,356.13,355.29,355.88,356.87,357.57,358.41,358.76,358.46,358.47,358.67,358.79,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1995,358.85,358.47,358.05,357.95,358.56,359.41,360.14,360.41,360.41,360.42,360.53,360.69,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1996,360.5,359.96,358.98,358.67,360.02,361.16,361.34,361.29,361.41,361.47,361.55,361.65,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1997,361.48,361.04,360.99,361.0,361.15,362.27,363.05,362.9,362.87,363.7,364.0,363.53,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1998,363.24,363.33,363.29,363.42,364.82,366.21,365.96,366.01,366.38,366.22,366.29,366.03,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1999,365.49,365.16,364.83,364.85,365.72,366.64,367.33,367.56,367.39,367.45,367.64,367.59,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2000,367.37,367.12,366.4,366.08,367.35,368.43,368.81,368.66,368.4,368.78,368.76,368.31,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2001,368.1,368.33,368.44,368.5,369.25,369.43,369.43,369.43,370.44,370.85,370.71,370.24,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2002,370.26,370.35,369.81,370.16,371.38,371.98,372.55,372.83,372.81,372.93,373.02,373.1,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2003,373.13,372.95,372.99,373.41,373.82,374.68,375.15,374.91,374.83,375.1,375.22,375.01,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2004,374.83,375.11,375.14,374.71,375.27,376.44,376.87,376.72,376.55,376.54,377.0,376.94,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2005,376.37,376.35,376.93,377.17,377.3,378.56,379.47,379.02,378.68,379.07,379.51,379.42,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2006,379.3,379.34,379.02,378.71,379.07,379.79,380.19,380.7,381.05,381.05,380.79,380.41,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2007,380.29,380.48,380.35,380.38,381.14,382.02,382.69,383.14,383.37,383.43,383.52,383.24,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2008,382.82,382.27,381.82,381.47,382.11,383.66,384.56,384.82,384.83,384.62,384.64,384.92,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2009,384.79,384.29,383.55,383.17,384.26,385.79,386.5,387.03,387.37,387.18,386.55,386.18,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2010,386.28,386.64,386.67,386.23,386.7,387.78,388.27,388.6,388.63,388.57,388.83,388.82,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2011,387.71,386.97,387.47,388.1,388.78,389.44,390.17,390.67,390.52,390.31,390.1,390.0,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2012,390.21,390.11,390.1,390.89,391.23,391.61,392.22,391.89,391.82,392.33,392.86,392.95,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2013,392.49,392.36,392.84,393.3,393.6,394.51,395.41,395.29,394.99,395.22,395.36,395.44,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2014,395.13,395.08,394.77,394.14,394.91,395.99,396.47,397.14,397.27,396.77,396.95,397.16,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2015,396.92,396.78,397.13,397.24,397.27,398.36,398.93,399.04,399.4,399.71,400.15,400.37,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2016,400.59,401.19,401.36,401.22,401.65,402.58,403.33,403.18,402.68,402.92,403.0,402.84,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,2017,402.72,402.33,401.97,402.37,403.32,404.03,404.68,404.91,404.25,404.44,405.08,404.91,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASK,1995,359.3,359.3,359.3,359.3,359.3,359.3,359.3,359.3,357.23,358.36,360.21,361.42,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,1996,362.56,363.92,364.6,364.97,365.25,364.5,361.94,359.48,358.42,359.09,360.82,362.36,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,1997,363.95,365.1,365.85,366.27,366.55,365.93,363.42,360.59,359.37,360.31,362.74,364.83,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,1998,365.87,367.3,368.53,369.27,369.7,368.46,365.76,363.85,363.26,364.36,366.04,367.47,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,1999,368.62,369.49,370.69,371.37,371.17,370.01,367.28,364.84,364.21,365.17,367.63,369.35,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2000,370.19,371.43,372.09,372.41,372.7,371.83,369.35,366.61,365.93,366.62,368.72,370.86,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2001,372.05,372.78,373.57,374.22,374.37,373.19,370.41,368.36,367.79,368.32,370.37,372.27,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2002,373.76,374.64,375.14,376.24,376.41,375.15,372.93,370.47,369.47,370.52,372.49,374.18,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2003,375.57,376.67,377.63,378.52,378.95,378.29,375.75,373.08,372.38,372.83,374.59,376.78,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2004,377.85,378.85,379.89,380.45,380.62,379.53,376.71,373.95,373.02,373.95,376.27,378.79,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2005,379.91,380.67,381.63,382.1,382.46,381.41,379.13,376.87,375.66,376.4,378.78,381.16,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2006,382.86,383.63,383.85,384.44,385.01,383.6,381.32,379.28,377.83,378.31,380.74,382.68,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2007,383.82,385.28,386.23,386.37,386.51,385.88,383.39,380.8,379.79,380.59,382.89,385.06,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2008,386.68,387.32,387.68,388.34,385.28,385.28,385.7,382.33,381.54,382.44,384.22,386.57,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2009,388.38,389.14,389.79,390.56,390.63,389.64,386.95,384.06,383.07,384.26,386.02,387.84,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2010,389.25,390.18,391.23,392.25,392.93,391.87,388.39,386.01,385.77,386.35,388.38,390.92,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2011,391.99,392.69,394.21,395.02,394.77,393.78,391.48,388.82,388.12,388.65,390.41,392.7,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2012,394.25,395.79,396.47,396.48,396.5,395.83,393.27,390.71,390.32,391.09,392.97,394.98,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2013,396.17,396.17,396.17,399.39,399.57,398.59,395.54,392.69,392.28,393.67,395.85,397.92,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2014,398.72,399.62,400.83,401.48,401.65,400.61,397.83,394.94,394.61,396.06,397.5,399.58,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2015,401.14,402.1,403.41,403.56,403.06,401.79,399.25,397.35,396.47,397.52,400.04,402.44,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2016,404.04,404.89,406.13,407.25,407.21,405.98,403.22,400.47,400.1,401.35,403.78,406.01,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
ASK,2017,407.33,408.51,409.36,409.75,409.75,408.45,405.8,402.98,402.27,403.89,406.05,408.05,Assekrem,Algeria,23.261999999999997,5.632000000000001,2710.0,+1 hours
AVI,1979,336.86,336.86,339.37,340.65,340.6,338.81,334.66,332.47,333.34,334.75,336.24,337.67,"St. Croix, Virgin Islands",United States,17.75,-64.75,3.0,-4 hours
AVI,1980,337.43,337.43,337.43,337.43,337.43,337.43,337.43,337.43,335.53,335.93,338.18,340.08,"St. Croix, Virgin Islands",United States,17.75,-64.75,3.0,-4 hours
AVI,1981,341.2,342.3,343.29,343.97,343.33,342.23,340.87,338.1,336.46,337.09,338.52,340.12,"St. Croix, Virgin Islands",United States,17.75,-64.75,3.0,-4 hours
AVI,1982,342.16,343.13,343.33,343.77,343.95,343.23,340.61,337.08,336.22,337.73,339.59,341.22,"St. Croix, Virgin Islands",United States,17.75,-64.75,3.0,-4 hours
AVI,1983,342.16,343.19,344.81,345.0,344.35,344.87,342.64,339.34,339.86,340.08,339.12,340.89,"St. Croix, Virgin Islands",United States,17.75,-64.75,3.0,-4 hours
AVI,1984,343.62,344.75,345.76,347.31,348.08,346.99,343.58,340.16,338.72,339.73,341.12,343.44,"St. Croix, Virgin Islands",United States,17.75,-64.75,3.0,-4 hours
AVI,1985,345.65,346.01,346.52,347.84,348.69,348.33,345.94,343.4,342.39,342.53,344.35,346.03,"St. Croix, Virgin Islands",United States,17.75,-64.75,3.0,-4 hours
AVI,1986,346.55,347.52,348.97,349.41,349.6,349.22,347.09,344.28,343.18,343.94,345.87,347.3,"St. Croix, Virgin Islands",United States,17.75,-64.75,3.0,-4 hours
AVI,1987,348.07,349.46,350.92,351.72,351.03,349.68,348.44,347.02,345.77,345.75,347.49,349.24,"St. Croix, Virgin Islands",United States,17.75,-64.75,3.0,-4 hours
AVI,1988,350.69,351.93,353.16,354.31,354.88,354.03,351.2,348.94,348.52,349.31,350.88,352.38,"St. Croix, Virgin Islands",United States,17.75,-64.75,3.0,-4 hours
AVI,1989,353.6,354.27,354.91,356.14,356.95,355.98,353.67,351.56,350.63,351.01,352.28,354.04,"St. Croix, Virgin Islands",United States,17.75,-64.75,3.0,-4 hours
AVI,1990,354.87,355.73,356.87,357.64,357.9,357.24,354.65,351.9,355.85,355.85,355.85,355.85,"St. Croix, Virgin Islands",United States,17.75,-64.75,3.0,-4 hours
AZR,1979,339.92,339.92,339.92,339.92,339.92,339.92,339.92,339.92,339.92,339.92,339.92,339.92,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1980,340.51,341.79,342.45,342.26,341.98,340.53,337.23,334.28,333.73,335.96,338.73,340.2,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1981,340.53,342.06,343.78,344.36,343.7,340.54,336.98,334.45,334.11,336.31,338.97,341.03,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1982,342.18,343.35,345.16,346.21,344.84,341.87,336.48,332.45,334.84,339.23,343.27,344.73,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1983,345.37,345.58,345.05,345.64,345.57,343.98,342.1,338.96,337.55,340.44,343.83,345.0,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1984,346.6,348.19,347.7,347.08,348.05,345.67,340.93,339.08,339.3,341.43,344.56,346.65,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1985,346.81,347.84,350.23,350.73,348.76,346.26,342.09,338.62,341.02,345.6,347.89,349.42,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1986,349.99,349.36,349.69,351.07,350.89,350.2,348.26,345.94,345.64,347.38,348.99,349.1,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1987,348.64,349.7,352.25,353.43,351.53,348.85,347.59,344.42,342.66,345.87,349.53,351.02,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1988,352.36,353.28,353.38,354.24,353.48,351.74,350.55,348.03,346.68,349.59,353.54,354.85,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1989,354.63,355.29,357.62,357.96,356.08,353.49,355.84,355.84,355.84,355.84,355.84,355.84,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1990,356.04,356.04,356.04,356.04,356.04,356.04,356.04,356.04,356.04,353.13,356.81,358.19,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1991,358.13,358.09,359.84,361.19,359.39,358.84,355.38,350.31,350.51,352.66,353.81,354.81,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1992,358.06,358.06,358.06,358.06,358.06,358.06,358.06,358.06,358.06,358.06,358.06,358.06,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1995,360.93,361.78,362.58,363.11,363.52,361.75,356.62,353.28,354.73,358.38,361.92,363.33,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1996,363.72,364.29,365.24,366.28,366.24,365.88,364.34,360.45,358.42,360.04,361.82,364.0,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1997,365.41,365.2,365.47,366.54,366.96,365.17,361.12,357.14,356.57,360.4,364.48,367.14,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1998,366.85,365.62,366.86,369.09,368.58,366.51,363.09,359.64,360.97,364.5,367.51,369.46,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,1999,370.66,371.05,371.19,371.6,372.11,370.47,366.83,364.32,364.8,366.81,368.35,369.65,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,2000,370.82,370.68,371.74,373.74,373.36,369.99,367.64,366.77,365.73,367.07,370.07,372.09,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,2001,372.64,372.73,374.31,376.16,374.42,371.59,370.16,367.66,366.35,368.76,371.08,372.67,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,2002,374.5,375.83,376.54,376.49,376.45,374.35,370.91,370.05,369.92,370.82,373.47,375.26,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,2003,376.38,378.03,379.07,379.95,380.05,377.03,372.51,369.9,370.33,373.51,376.07,377.55,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
AZR,2004,379.3,380.32,380.72,381.21,380.58,378.37,375.7,371.87,370.95,373.56,376.69,377.85,"Terceira Island, Azores",Portugal,38.766,-27.375,19.0,-1 hours
